epsilon,dp_accuracy,lambda,accuracy,size
10.0,0.66,10.0,0.66,800
5.0,0.66,10.0,0.66,800
2.0,0.665,10.0,0.66,800
1.0,0.66,10.0,0.66,800
0.1,0.65,10.0,0.66,800
0.01,0.615,10.0,0.66,800
0.001,0.32,10.0,0.66,800
10.0,0.66,2.0,0.665,800
5.0,0.66,2.0,0.665,800
2.0,0.665,2.0,0.665,800
1.0,0.66,2.0,0.665,800
0.1,0.675,2.0,0.665,800
0.01,0.545,2.0,0.665,800
0.001,0.23,2.0,0.665,800
10.0,0.655,1.0,0.655,800
5.0,0.655,1.0,0.655,800
2.0,0.655,1.0,0.655,800
1.0,0.66,1.0,0.655,800
0.1,0.635,1.0,0.655,800
0.01,0.375,1.0,0.655,800
0.001,0.155,1.0,0.655,800
10.0,0.65,0.1,0.645,800
5.0,0.645,0.1,0.645,800
2.0,0.62,0.1,0.645,800
1.0,0.6,0.1,0.645,800
0.1,0.395,0.1,0.645,800
0.01,0.115,0.1,0.645,800
0.001,0.09,0.1,0.645,800
10.0,0.655,0.05,0.635,800
5.0,0.645,0.05,0.635,800
2.0,0.65,0.05,0.635,800
1.0,0.485,0.05,0.635,800
0.1,0.19,0.05,0.635,800
0.01,0.145,0.05,0.635,800
0.001,0.185,0.05,0.635,800
10.0,0.565,0.01,0.615,800
5.0,0.57,0.01,0.615,800
2.0,0.345,0.01,0.615,800
1.0,0.21,0.01,0.615,800
0.1,0.155,0.01,0.615,800
0.01,0.125,0.01,0.615,800
0.001,0.07,0.01,0.615,800
10.0,0.225,0.001,0.555,800
5.0,0.205,0.001,0.555,800
2.0,0.22,0.001,0.555,800
1.0,0.175,0.001,0.555,800
0.1,0.09,0.001,0.555,800
0.01,0.185,0.001,0.555,800
0.001,0.075,0.001,0.555,800
10.0,0.703,10.0,0.703,8000
5.0,0.703,10.0,0.703,8000
2.0,0.703,10.0,0.703,8000
1.0,0.703,10.0,0.703,8000
0.1,0.7025,10.0,0.703,8000
0.01,0.701,10.0,0.703,8000
0.001,0.683,10.0,0.703,8000
10.0,0.7015,2.0,0.7015,8000
5.0,0.702,2.0,0.7015,8000
2.0,0.702,2.0,0.7015,8000
1.0,0.7025,2.0,0.7015,8000
0.1,0.701,2.0,0.7015,8000
0.01,0.697,2.0,0.7015,8000
0.001,0.51,2.0,0.7015,8000
10.0,0.7,1.0,0.701,8000
5.0,0.701,1.0,0.701,8000
2.0,0.7015,1.0,0.701,8000
1.0,0.701,1.0,0.701,8000
0.1,0.7015,1.0,0.701,8000
0.01,0.677,1.0,0.701,8000
0.001,0.3315,1.0,0.701,8000
10.0,0.695,0.1,0.6955,8000
5.0,0.696,0.1,0.6955,8000
2.0,0.6945,0.1,0.6955,8000
1.0,0.693,0.1,0.6955,8000
0.1,0.6665,0.1,0.6955,8000
0.01,0.4375,0.1,0.6955,8000
0.001,0.147,0.1,0.6955,8000
10.0,0.693,0.05,0.6935,8000
5.0,0.692,0.05,0.6935,8000
2.0,0.6965,0.05,0.6935,8000
1.0,0.6955,0.05,0.6935,8000
0.1,0.655,0.05,0.6935,8000
0.01,0.189,0.05,0.6935,8000
0.001,0.076,0.05,0.6935,8000
10.0,0.684,0.01,0.6885,8000
5.0,0.6865,0.01,0.6885,8000
2.0,0.686,0.01,0.6885,8000
1.0,0.6475,0.01,0.6885,8000
0.1,0.3565,0.01,0.6885,8000
0.01,0.093,0.01,0.6885,8000
0.001,0.106,0.01,0.6885,8000
10.0,0.5985,0.001,0.668,8000
5.0,0.47,0.001,0.668,8000
2.0,0.4565,0.001,0.668,8000
1.0,0.2675,0.001,0.668,8000
0.1,0.2405,0.001,0.668,8000
0.01,0.1295,0.001,0.668,8000
0.001,0.1645,0.001,0.668,8000
10.0,0.6938,10.0,0.6938,40000
5.0,0.6938,10.0,0.6938,40000
2.0,0.6938,10.0,0.6938,40000
1.0,0.6938,10.0,0.6938,40000
0.1,0.6939,10.0,0.6938,40000
0.01,0.6936,10.0,0.6938,40000
0.001,0.6913,10.0,0.6938,40000
10.0,0.693,2.0,0.693,40000
5.0,0.693,2.0,0.693,40000
2.0,0.6931,2.0,0.693,40000
1.0,0.693,2.0,0.693,40000
0.1,0.6934,2.0,0.693,40000
0.01,0.6932,2.0,0.693,40000
0.001,0.6675,2.0,0.693,40000
10.0,0.6933,1.0,0.6933,40000
5.0,0.6934,1.0,0.6933,40000
2.0,0.6932,1.0,0.6933,40000
1.0,0.6934,1.0,0.6933,40000
0.1,0.6928,1.0,0.6933,40000
0.01,0.6914,1.0,0.6933,40000
0.001,0.6043,1.0,0.6933,40000
10.0,0.6927,0.1,0.6927,40000
5.0,0.6926,0.1,0.6927,40000
2.0,0.6929,0.1,0.6927,40000
1.0,0.6928,0.1,0.6927,40000
0.1,0.6918,0.1,0.6927,40000
0.01,0.6032,0.1,0.6927,40000
0.001,0.313,0.1,0.6927,40000
10.0,0.6911,0.05,0.6915,40000
5.0,0.6915,0.05,0.6915,40000
2.0,0.6921,0.05,0.6915,40000
1.0,0.6918,0.05,0.6915,40000
0.1,0.6916,0.05,0.6915,40000
0.01,0.5698,0.05,0.6915,40000
0.001,0.1574,0.05,0.6915,40000
10.0,0.6893,0.01,0.6893,40000
5.0,0.6897,0.01,0.6893,40000
2.0,0.69,0.01,0.6893,40000
1.0,0.6909,0.01,0.6893,40000
0.1,0.651,0.01,0.6893,40000
0.01,0.2644,0.01,0.6893,40000
0.001,0.1179,0.01,0.6893,40000
10.0,0.6782,0.001,0.6817,40000
5.0,0.6681,0.001,0.6817,40000
2.0,0.6127,0.001,0.6817,40000
1.0,0.558,0.001,0.6817,40000
0.1,0.2146,0.001,0.6817,40000
0.01,0.1783,0.001,0.6817,40000
0.001,0.1162,0.001,0.6817,40000
10.0,0.6942,10.0,0.6942,80000
5.0,0.6942,10.0,0.6942,80000
2.0,0.6942,10.0,0.6942,80000
1.0,0.6942,10.0,0.6942,80000
0.1,0.69415,10.0,0.6942,80000
0.01,0.69455,10.0,0.6942,80000
0.001,0.6939,10.0,0.6942,80000
10.0,0.69425,2.0,0.69425,80000
5.0,0.6942,2.0,0.69425,80000
2.0,0.69415,2.0,0.69425,80000
1.0,0.69415,2.0,0.69425,80000
0.1,0.69435,2.0,0.69425,80000
0.01,0.6942,2.0,0.69425,80000
0.001,0.69265,2.0,0.69425,80000
10.0,0.694,1.0,0.694,80000
5.0,0.694,1.0,0.694,80000
2.0,0.694,1.0,0.694,80000
1.0,0.694,1.0,0.694,80000
0.1,0.69415,1.0,0.694,80000
0.01,0.6941,1.0,0.694,80000
0.001,0.6652,1.0,0.694,80000
10.0,0.69355,0.1,0.69355,80000
5.0,0.6937,0.1,0.69355,80000
2.0,0.6937,0.1,0.69355,80000
1.0,0.6942,0.1,0.69355,80000
0.1,0.69405,0.1,0.69355,80000
0.01,0.67995,0.1,0.69355,80000
0.001,0.39665,0.1,0.69355,80000
10.0,0.6933,0.05,0.69345,80000
5.0,0.69335,0.05,0.69345,80000
2.0,0.6935,0.05,0.69345,80000
1.0,0.6932,0.05,0.69345,80000
0.1,0.69045,0.05,0.69345,80000
0.01,0.5958,0.05,0.69345,80000
0.001,0.31955,0.05,0.69345,80000
10.0,0.69165,0.01,0.6919,80000
5.0,0.69105,0.01,0.6919,80000
2.0,0.69165,0.01,0.6919,80000
1.0,0.6913,0.01,0.6919,80000
0.1,0.67265,0.01,0.6919,80000
0.01,0.35435,0.01,0.6919,80000
0.001,0.1555,0.01,0.6919,80000
10.0,0.68695,0.001,0.6861,80000
5.0,0.68515,0.001,0.6861,80000
2.0,0.67605,0.001,0.6861,80000
1.0,0.67945,0.001,0.6861,80000
0.1,0.35235,0.001,0.6861,80000
0.01,0.2134,0.001,0.6861,80000
0.001,0.1172,0.001,0.6861,80000
10.0,0.695475,10.0,0.6955,160000
5.0,0.695475,10.0,0.6955,160000
2.0,0.695475,10.0,0.6955,160000
1.0,0.6955,10.0,0.6955,160000
0.1,0.6955,10.0,0.6955,160000
0.01,0.69545,10.0,0.6955,160000
0.001,0.69575,10.0,0.6955,160000
10.0,0.695275,2.0,0.6953,160000
5.0,0.695325,2.0,0.6953,160000
2.0,0.695275,2.0,0.6953,160000
1.0,0.695325,2.0,0.6953,160000
0.1,0.695325,2.0,0.6953,160000
0.01,0.695725,2.0,0.6953,160000
0.001,0.694175,2.0,0.6953,160000
10.0,0.6956,1.0,0.6956,160000
5.0,0.695625,1.0,0.6956,160000
2.0,0.69555,1.0,0.6956,160000
1.0,0.695575,1.0,0.6956,160000
0.1,0.695525,1.0,0.6956,160000
0.01,0.695575,1.0,0.6956,160000
0.001,0.69775,1.0,0.6956,160000
10.0,0.695025,0.1,0.69505,160000
5.0,0.694975,0.1,0.69505,160000
2.0,0.695075,0.1,0.69505,160000
1.0,0.695125,0.1,0.69505,160000
0.1,0.6955,0.1,0.69505,160000
0.01,0.6945,0.1,0.69505,160000
0.001,0.52945,0.1,0.69505,160000
10.0,0.695,0.05,0.695025,160000
5.0,0.695075,0.05,0.695025,160000
2.0,0.69495,0.05,0.695025,160000
1.0,0.69515,0.05,0.695025,160000
0.1,0.692625,0.05,0.695025,160000
0.01,0.681925,0.05,0.695025,160000
0.001,0.4052,0.05,0.695025,160000
10.0,0.6929,0.01,0.692875,160000
5.0,0.69255,0.01,0.692875,160000
2.0,0.69285,0.01,0.692875,160000
1.0,0.692725,0.01,0.692875,160000
0.1,0.687075,0.01,0.692875,160000
0.01,0.3953,0.01,0.692875,160000
0.001,0.09805,0.01,0.692875,160000
10.0,0.687575,0.001,0.687825,160000
5.0,0.6865,0.001,0.687825,160000
2.0,0.686625,0.001,0.687825,160000
1.0,0.67055,0.001,0.687825,160000
0.1,0.5063,0.001,0.687825,160000
0.01,0.186075,0.001,0.687825,160000
0.001,0.222475,0.001,0.687825,160000
10.0,0.69749,10.0,0.69749,400000
5.0,0.69749,10.0,0.69749,400000
2.0,0.69748,10.0,0.69749,400000
1.0,0.69749,10.0,0.69749,400000
0.1,0.69751,10.0,0.69749,400000
0.01,0.69745,10.0,0.69749,400000
0.001,0.69744,10.0,0.69749,400000
10.0,0.69748,2.0,0.69748,400000
5.0,0.69748,2.0,0.69748,400000
2.0,0.69748,2.0,0.69748,400000
1.0,0.69747,2.0,0.69748,400000
0.1,0.69749,2.0,0.69748,400000
0.01,0.6972,2.0,0.69748,400000
0.001,0.69679,2.0,0.69748,400000
10.0,0.69768,1.0,0.69768,400000
5.0,0.69768,1.0,0.69768,400000
2.0,0.69769,1.0,0.69768,400000
1.0,0.69767,1.0,0.69768,400000
0.1,0.69766,1.0,0.69768,400000
0.01,0.69802,1.0,0.69768,400000
0.001,0.69898,1.0,0.69768,400000
10.0,0.6976,0.1,0.69758,400000
5.0,0.69759,0.1,0.69758,400000
2.0,0.69759,0.1,0.69758,400000
1.0,0.69761,0.1,0.69758,400000
0.1,0.69789,0.1,0.69758,400000
0.01,0.69788,0.1,0.69758,400000
0.001,0.60685,0.1,0.69758,400000
10.0,0.69746,0.05,0.69747,400000
5.0,0.69742,0.05,0.69747,400000
2.0,0.6975,0.05,0.69747,400000
1.0,0.69748,0.05,0.69747,400000
0.1,0.69747,0.05,0.69747,400000
0.01,0.69187,0.05,0.69747,400000
0.001,0.56034,0.05,0.69747,400000
10.0,0.69656,0.01,0.69655,400000
5.0,0.69637,0.01,0.69655,400000
2.0,0.69624,0.01,0.69655,400000
1.0,0.69622,0.01,0.69655,400000
0.1,0.69551,0.01,0.69655,400000
0.01,0.65681,0.01,0.69655,400000
0.001,0.30207,0.01,0.69655,400000
10.0,0.69259,0.001,0.69246,400000
5.0,0.69254,0.001,0.69246,400000
2.0,0.69273,0.001,0.69246,400000
1.0,0.69349,0.001,0.69246,400000
0.1,0.64791,0.001,0.69246,400000
0.01,0.29178,0.001,0.69246,400000
0.001,0.24927,0.001,0.69246,400000
10.0,0.6966085212946309,10.0,0.6966085212946309,464809
5.0,0.6966085212946309,10.0,0.6966085212946309,464809
2.0,0.6966085212946309,10.0,0.6966085212946309,464809
1.0,0.6966085212946309,10.0,0.6966085212946309,464809
0.1,0.6965999156648279,10.0,0.6966085212946309,464809
0.01,0.6965999156648279,10.0,0.6966085212946309,464809
0.001,0.696651549443646,10.0,0.6966085212946309,464809
10.0,0.696651549443646,2.0,0.696651549443646,464809
5.0,0.696651549443646,2.0,0.696651549443646,464809
2.0,0.696651549443646,2.0,0.696651549443646,464809
1.0,0.6966429438138431,2.0,0.696651549443646,464809
0.1,0.6966429438138431,2.0,0.696651549443646,464809
0.01,0.6964450143283736,2.0,0.696651549443646,464809
0.001,0.6959630990594047,2.0,0.696651549443646,464809
10.0,0.696651549443646,1.0,0.696651549443646,464809
5.0,0.696660155073449,1.0,0.696651549443646,464809
2.0,0.696660155073449,1.0,0.696651549443646,464809
1.0,0.6966429438138431,1.0,0.696651549443646,464809
0.1,0.696651549443646,1.0,0.696651549443646,464809
0.01,0.6967720282608882,1.0,0.696651549443646,464809
0.001,0.6988459850434154,1.0,0.696651549443646,464809
10.0,0.6965224649966008,0.1,0.6965138593667978,464809
5.0,0.6965052537369948,0.1,0.6965138593667978,464809
2.0,0.6965052537369948,0.1,0.6965138593667978,464809
1.0,0.6965310706264038,0.1,0.6965138593667978,464809
0.1,0.6962901129919193,0.1,0.6965138593667978,464809
0.01,0.6954983950500417,0.1,0.6965138593667978,464809
0.001,0.653442682202697,0.1,0.6965138593667978,464809
10.0,0.696660155073449,0.05,0.696660155073449,464809
5.0,0.6966945775926611,0.05,0.696660155073449,464809
2.0,0.6967031832224642,0.05,0.696660155073449,464809
1.0,0.6967548170012823,0.05,0.696660155073449,464809
0.1,0.6967462113714792,0.05,0.696660155073449,464809
0.01,0.6928994948495306,0.05,0.696660155073449,464809
0.001,0.5787716324019173,0.05,0.696660155073449,464809
10.0,0.695601662607678,0.01,0.695610268237481,464809
5.0,0.695670507646102,0.01,0.695610268237481,464809
2.0,0.6960147328382228,0.01,0.695610268237481,464809
1.0,0.6962126623236922,0.01,0.695610268237481,464809
0.1,0.6956877189057081,0.01,0.695610268237481,464809
0.01,0.6200700498265965,0.01,0.695610268237481,464809
0.001,0.27127526828050913,0.01,0.695610268237481,464809
10.0,0.6917721573453354,0.001,0.6917463404559263,464809
5.0,0.6920045093500168,0.001,0.6917463404559263,464809
2.0,0.6922798895037133,0.001,0.6917463404559263,464809
1.0,0.688622496837431,0.001,0.6917463404559263,464809
0.1,0.5883066702236603,0.001,0.6917463404559263,464809
0.01,0.3413767286558867,0.001,0.6917463404559263,464809
0.001,0.09830210923986472,0.001,0.6917463404559263,464809
